,powerAccuracy,powerPrecision,reps,n,nIterations,Duration
TimelyRow,1,0.6,30,10,10,8.434762955
TimelyRow,1,0.8,30,12,10,12.20646596
TimelyRow,1,0.8,30,14,10,14.37336302
TimelyRow,1,0.7,30,16,10,16.53162098
TimelyRow,1,0.6,30,18,10,19.92080808
TimelyRow,1,0.5,30,20,10,21.638906
TimelyRow,1,0.6,40,10,10,10.92350292
TimelyRow,1,0.7,40,12,10,16.92122293
TimelyRow,1,0.7,40,14,10,18.51573801
TimelyRow,1,0.8,40,16,10,20.98450708
TimelyRow,1,0.8,40,18,10,22.95328593
TimelyRow,1,0.8,40,20,10,29.31398702
TimelyRow,1,0.5,50,10,10,14.56186104
TimelyRow,1,0.8,50,12,10,18.93792892
TimelyRow,1,0.9,50,14,10,26.08306718
TimelyRow,1,1,50,16,10,32.18143702
TimelyRow,1,0.8,50,18,10,29.53093696
TimelyRow,1,1,50,20,10,32.72012186
TimelyRow,1,0.8,60,10,10,16.67067504
TimelyRow,1,0.7,60,12,10,20.37638307
TimelyRow,1,0.9,60,14,10,24.23335195
TimelyRow,1,0.9,60,16,10,33.57740998
TimelyRow,0.9,1,60,18,10,34.8922081
TimelyRow,1,1,60,20,10,48.71823788
,,,,,,545.2017899
