"","value","label","reps","PSE_Difference","JND_Difference","StandardValues","nStandardValues","TrialsPerSubject","SD_ResponseFunction","Mean_Variability_Between","SD_Variability_Between","nSubjects"
"1",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"2",0.38,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"3",0.86,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"4",0.26,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"5",1,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"6",0.29,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"7",0.05,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"8",0.43,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,10
"9",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"10",0.445,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"11",0.9,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"12",0.3,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"13",1,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"14",0.325,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"15",0.035,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"16",0.515,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,12
"17",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"18",0.51,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"19",0.955,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"20",0.32,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"21",0.99,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"22",0.36,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"23",0.055,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"24",0.565,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,14
"25",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"26",0.61,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"27",1,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"28",0.45,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"29",1,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"30",0.45,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"31",0.045,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"32",0.64,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,16
"33",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"34",0.59,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"35",0.995,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"36",0.48,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"37",1,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"38",0.5,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"39",0.02,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"40",0.64,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,18
"41",1,"Accuracy GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"42",0.695,"Precision GLMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"43",1,"Accuracy Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"44",0.54,"Precision Two-Level",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"45",1,"Accuracy Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"46",0.56,"Precision Two-Level LMM",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"47",0.045,"Accuracy GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
"48",0.775,"Precision GLMM Only Intercepts",25,0.1,0.3,"24",2,100,0.2,0.1,0.1,20
